segment_id,latitude,longitude,zone_no,zone_name,road_class,elevation_m,slope_degrees,distance_to_coast_km,distance_to_major_canal_m,subsidence_rate_mm_yr,soil_infiltration_rate_mm_hr,swd_pipe_diameter_mm,swd_pipe_material,theoretical_drain_capacity_cumecs,solid_waste_generated_tpd,desilting_completed_pct,chronic_blockage_flag,drain_clogging_factor_mu,effective_drain_capacity_cumecs,rainfall_24h_mm,rainfall_peak_intensity_mm_hr,surface_runoff_inflow_cumecs,is_flooded,flood_depth_cm,flood_severity_level,safe_vehicle_passage
CHN_SEG_00036,12.96598,80.215041,14,Perungudi,street,1.12,0.51,12.76,1266.7,4.7,4.2,600,RCC_Hume_NP2,0.269,370.0,71.0,0,0.349,0.175,299.0088,49.8,0.242,1,123.9,Catastrophic (>100 cm),Impasse / Completely Submerged
CHN_SEG_00037,13.086351,80.224166,8,Annanagar,street,9.57,0.92,11.75,1066.7,3.6,12.5,600,RCC_Hume_NP2,0.361,430.0,78.5,0,0.337,0.239,299.0088,49.8,0.242,1,21.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00038,13.056122,80.234728,10,Kodambakkam,street,9.56,0.53,10.58,841.9,3.6,7.8,600,RCC_Hume_NP2,0.274,560.0,78.5,0,0.391,0.167,299.0088,49.8,0.242,1,24.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00039,12.979676,80.209395,12,Alandur,street,7.54,0.57,13.39,1358.2,3.6,12.5,600,RCC_Hume_NP2,0.284,330.0,71.0,0,0.332,0.19,299.0088,49.8,0.242,1,23.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00040,13.062359,80.21245,10,Kodambakkam,street_limited,9.53,0.62,13.05,458.1,3.6,7.8,600,RCC_Hume_NP2,0.296,560.0,78.5,0,0.391,0.18,299.0088,49.8,0.242,1,24.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00041,13.07669,80.249038,6,Thiru-Vi-Ka Nagar,street_limited,3.02,0.7,8.99,523.5,3.6,12.5,600,RCC_Hume_NP2,0.315,420.0,71.0,0,0.37,0.198,299.0088,49.8,0.242,1,71.4,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00042,12.952702,80.170318,12,Alandur,service,10.16,0.81,17.72,630.3,3.6,12.5,600,RCC_Hume_NP2,0.339,330.0,71.0,0,0.332,0.226,299.0088,49.8,0.242,1,19.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00043,13.090393,80.216326,8,Annanagar,street,9.57,0.84,12.62,1227.0,3.6,12.5,600,RCC_Hume_NP2,0.345,430.0,78.5,0,0.337,0.229,299.0088,49.8,0.242,1,21.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00044,13.024573,80.260982,9,Teynampet,street,6.38,0.6,7.66,1113.0,3.6,7.8,600,RCC_Hume_NP2,0.291,540.0,78.5,0,0.383,0.18,299.0088,49.8,0.242,1,24.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00045,13.012873,80.240693,13,Adyar,street,2.8,0.47,9.91,458.9,3.6,7.8,600,RCC_Hume_NP2,0.258,450.0,71.0,0,0.383,0.159,299.0088,49.8,0.242,1,78.0,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00046,13.044568,80.113034,11,Valasaravakkam,street,11.71,0.9,24.08,1316.1,3.6,12.5,600,RCC_Hume_NP2,0.357,310.0,71.0,0,0.324,0.241,299.0088,49.8,0.242,1,19.9,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00047,13.01431,80.160941,11,Valasaravakkam,street,10.73,0.74,18.77,552.7,3.6,12.5,600,RCC_Hume_NP2,0.324,310.0,71.0,0,0.324,0.219,299.0088,49.8,0.242,1,14.0,Minor (1-15 cm),All Vehicles Safe (Caution)
CHN_SEG_00048,12.924258,80.091353,12,Alandur,street,9.38,0.83,26.49,1143.0,3.6,12.5,600,RCC_Hume_NP2,0.343,330.0,71.0,0,0.332,0.229,299.0088,49.8,0.242,1,14.9,Minor (1-15 cm),All Vehicles Safe (Caution)
CHN_SEG_00049,12.972732,80.258745,14,Perungudi,street,4.23,0.39,7.91,1392.7,4.7,4.2,600,RCC_Hume_NP2,0.235,370.0,71.0,0,0.349,0.153,299.0088,49.8,0.242,1,23.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00050,12.965058,80.190504,12,Alandur,street,9.11,0.82,15.48,1237.9,3.6,12.5,600,RCC_Hume_NP2,0.341,330.0,71.0,0,0.332,0.228,299.0088,49.8,0.242,1,13.3,Minor (1-15 cm),All Vehicles Safe (Caution)
CHN_SEG_00051,13.082422,80.235973,8,Annanagar,street_limited,9.45,0.97,10.44,869.2,3.6,12.5,600,RCC_Hume_NP2,0.371,430.0,78.5,0,0.337,0.246,299.0088,49.8,0.242,1,22.5,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00052,13.059464,80.217994,10,Kodambakkam,street_limited,9.52,0.55,12.43,644.1,3.6,7.8,600,RCC_Hume_NP2,0.279,560.0,78.5,0,0.391,0.17,299.0088,49.8,0.242,1,24.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00053,12.939971,80.231067,14,Perungudi,street,3.82,0.26,10.98,236.2,4.7,4.2,600,RCC_Hume_NP2,0.192,370.0,71.0,0,0.349,0.125,299.0088,49.8,0.242,1,23.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00054,12.939561,80.246141,14,Perungudi,main,2.6,0.25,9.31,264.5,4.7,4.2,600,RCC_Hume_NP2,0.188,370.0,71.0,0,0.349,0.122,299.0088,49.8,0.242,1,82.4,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00055,12.887219,80.184284,15,Sholinganallur,main,3.88,0.46,16.17,459.6,4.7,4.2,600,RCC_Hume_NP2,0.255,290.0,71.0,0,0.316,0.174,299.0088,49.8,0.242,1,22.9,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00056,12.972609,80.189973,12,Alandur,street,7.87,0.69,15.54,1391.8,3.6,12.5,600,RCC_Hume_NP2,0.313,330.0,71.0,0,0.332,0.209,299.0088,49.8,0.242,1,18.2,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00057,13.074532,80.266899,9,Teynampet,path,4.93,0.74,7.0,380.6,3.6,7.8,600,RCC_Hume_NP2,0.324,540.0,78.5,0,0.383,0.2,299.0088,49.8,0.242,1,21.4,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00058,13.063462,80.24219,9,Teynampet,street_limited,6.96,0.59,9.75,384.4,3.6,7.8,600,RCC_Hume_NP2,0.289,540.0,78.5,0,0.383,0.178,299.0088,49.8,0.242,1,24.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00059,12.962857,80.210934,14,Perungudi,street,1.66,0.54,13.22,1158.6,4.7,4.2,600,RCC_Hume_NP2,0.277,370.0,71.0,0,0.349,0.18,299.0088,49.8,0.242,1,108.7,Catastrophic (>100 cm),Impasse / Completely Submerged
CHN_SEG_00060,12.95897,80.208185,14,Perungudi,street,2.52,0.55,13.52,985.0,4.7,4.2,600,RCC_Hume_NP2,0.279,370.0,71.0,0,0.349,0.182,299.0088,49.8,0.242,1,84.7,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00061,13.032355,80.200366,11,Valasaravakkam,street_limited,9.08,0.92,14.39,1352.0,3.6,12.5,600,RCC_Hume_NP2,0.361,310.0,71.0,0,0.324,0.244,299.0088,49.8,0.242,1,19.9,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00062,13.029927,80.15917,11,Valasaravakkam,street,12.19,0.9,18.96,1298.0,3.6,12.5,600,RCC_Hume_NP2,0.357,310.0,71.0,0,0.324,0.241,299.0088,49.8,0.242,1,22.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00063,13.038122,80.198368,11,Valasaravakkam,street,8.67,0.95,14.61,1399.5,3.6,12.5,600,RCC_Hume_NP2,0.367,310.0,71.0,0,0.324,0.248,299.0088,49.8,0.242,1,22.4,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00064,13.021403,80.245189,9,Teynampet,street,4.84,0.53,9.41,965.0,3.6,7.8,600,RCC_Hume_NP2,0.274,540.0,78.5,0,0.383,0.169,299.0088,49.8,0.242,1,24.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00065,13.036692,80.207236,10,Kodambakkam,street,6.0,0.8,13.63,1398.5,3.6,7.8,600,RCC_Hume_NP2,0.337,560.0,78.5,0,0.391,0.205,299.0088,49.8,0.242,1,22.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00066,12.817709,80.229839,15,Sholinganallur,main,2.77,0.29,11.12,40.0,4.7,4.2,600,RCC_Hume_NP2,0.203,290.0,71.0,0,0.316,0.139,299.0088,49.8,0.242,1,76.5,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00067,13.057066,80.210267,10,Kodambakkam,street,8.88,0.5,13.29,788.2,3.6,7.8,600,RCC_Hume_NP2,0.266,560.0,78.5,0,0.391,0.162,299.0088,49.8,0.242,1,24.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00068,12.997522,80.203067,12,Alandur,street_limited,9.94,0.85,14.09,588.2,3.6,12.5,600,RCC_Hume_NP2,0.347,330.0,71.0,0,0.332,0.232,299.0088,49.8,0.242,1,18.2,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00069,13.033959,80.242442,9,Teynampet,street_limited,6.4,0.74,9.72,1376.7,3.6,7.8,600,RCC_Hume_NP2,0.324,540.0,78.5,0,0.383,0.2,299.0088,49.8,0.242,1,12.6,Minor (1-15 cm),All Vehicles Safe (Caution)
CHN_SEG_00070,12.921379,80.187993,15,Sholinganallur,street,1.1,0.5,15.76,1247.1,4.7,4.2,600,RCC_Hume_NP2,0.266,290.0,71.0,0,0.316,0.182,299.0088,49.8,0.242,1,123.3,Catastrophic (>100 cm),Impasse / Completely Submerged
CHN_SEG_00071,13.084298,80.118106,7,Ambattur,main,12.8,1.1,23.52,968.2,3.6,12.5,600,RCC_Hume_NP2,0.395,390.0,71.0,0,0.357,0.254,299.0088,49.8,0.242,1,22.2,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00072,12.962386,80.185156,12,Alandur,street,9.99,0.84,16.08,1139.8,3.6,12.5,600,RCC_Hume_NP2,0.345,330.0,71.0,0,0.332,0.23,299.0088,49.8,0.242,1,18.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00073,12.98287,80.214824,12,Alandur,street,8.43,0.65,12.78,1287.0,3.6,12.5,600,RCC_Hume_NP2,0.303,330.0,71.0,1,0.532,0.142,299.0088,49.8,0.242,1,28.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00074,13.035219,80.227307,10,Kodambakkam,service,6.66,0.79,11.4,1390.0,3.6,7.8,600,RCC_Hume_NP2,0.334,560.0,78.5,0,0.391,0.203,299.0088,49.8,0.242,1,18.9,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00075,12.972394,80.214826,14,Perungudi,street,1.1,0.4,12.78,1390.1,4.7,4.2,600,RCC_Hume_NP2,0.238,370.0,71.0,0,0.349,0.155,299.0088,49.8,0.242,1,124.4,Catastrophic (>100 cm),Impasse / Completely Submerged
CHN_SEG_00076,12.941953,80.237542,14,Perungudi,service,2.94,0.31,10.26,98.5,4.7,4.2,600,RCC_Hume_NP2,0.21,370.0,71.0,0,0.349,0.137,299.0088,49.8,0.242,1,72.9,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00077,12.898205,80.206359,15,Sholinganallur,street,1.72,0.25,13.72,1082.4,4.7,4.2,600,RCC_Hume_NP2,0.188,290.0,71.0,0,0.316,0.129,299.0088,49.8,0.242,1,105.9,Catastrophic (>100 cm),Impasse / Completely Submerged
CHN_SEG_00078,13.027755,80.270372,9,Teynampet,street,7.69,0.66,6.62,1233.5,3.6,7.8,600,RCC_Hume_NP2,0.306,540.0,78.5,0,0.383,0.189,299.0088,49.8,0.242,1,24.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00079,13.040999,80.158739,11,Valasaravakkam,street,11.09,0.94,19.01,1379.9,3.6,12.5,600,RCC_Hume_NP2,0.365,310.0,71.0,0,0.324,0.247,299.0088,49.8,0.242,1,16.2,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00080,13.035788,80.178973,11,Valasaravakkam,street,10.23,0.95,16.76,1394.2,3.6,12.5,600,RCC_Hume_NP2,0.367,310.0,71.0,0,0.324,0.248,299.0088,49.8,0.242,1,13.0,Minor (1-15 cm),All Vehicles Safe (Caution)
CHN_SEG_00081,13.036376,80.220703,10,Kodambakkam,main,6.39,0.8,12.13,1397.3,3.6,7.8,600,RCC_Hume_NP2,0.337,560.0,78.5,0,0.391,0.205,299.0088,49.8,0.242,1,20.5,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00082,13.038535,80.271692,9,Teynampet,street_limited,8.22,0.75,6.47,1398.5,3.6,7.8,600,RCC_Hume_NP2,0.326,540.0,78.5,0,0.383,0.201,299.0088,49.8,0.242,1,22.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00083,12.925366,80.1352,15,Sholinganallur,street,3.17,0.47,21.62,1096.5,4.7,4.2,600,RCC_Hume_NP2,0.258,290.0,71.0,0,0.316,0.176,299.0088,49.8,0.242,1,65.3,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00084,13.166889,80.255727,2,Manali,main,6.25,0.58,8.24,1377.2,3.6,12.5,600,RCC_Hume_NP2,0.287,220.0,71.0,0,0.287,0.205,299.0088,49.8,0.242,1,22.5,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00085,12.983589,80.121193,11,Valasaravakkam,street,12.18,0.76,23.18,1266.3,3.6,12.5,600,RCC_Hume_NP2,0.328,310.0,71.0,0,0.324,0.222,299.0088,49.8,0.242,1,22.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00086,12.951426,80.19637,12,Alandur,street,10.57,0.8,14.83,549.3,3.6,12.5,600,RCC_Hume_NP2,0.337,330.0,71.0,0,0.332,0.225,299.0088,49.8,0.242,1,22.0,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00087,12.950783,80.19791,12,Alandur,street,10.56,0.79,14.66,507.6,3.6,12.5,600,RCC_Hume_NP2,0.334,330.0,71.0,0,0.332,0.223,299.0088,49.8,0.242,1,22.0,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00088,12.978599,80.231185,14,Perungudi,street,3.03,0.25,10.97,1374.5,4.7,4.2,600,RCC_Hume_NP2,0.188,370.0,71.0,0,0.349,0.122,299.0088,49.8,0.242,1,70.4,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00089,13.043489,80.239768,9,Teynampet,street,7.74,0.72,10.02,1339.9,3.6,7.8,600,RCC_Hume_NP2,0.319,540.0,78.5,1,0.583,0.133,299.0088,49.8,0.242,1,29.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00090,12.88338,80.245224,15,Sholinganallur,main,1.1,0.49,9.41,198.8,4.7,4.2,600,RCC_Hume_NP2,0.263,290.0,71.0,0,0.316,0.18,299.0088,49.8,0.242,1,123.3,Catastrophic (>100 cm),Impasse / Completely Submerged
CHN_SEG_00091,12.921008,80.120391,15,Sholinganallur,service,3.97,0.5,23.27,1258.7,4.7,4.2,600,RCC_Hume_NP2,0.266,290.0,71.0,1,0.516,0.129,299.0088,49.8,0.242,1,27.9,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00092,13.020658,80.238435,9,Teynampet,street,4.7,0.51,10.16,926.5,3.6,7.8,600,RCC_Hume_NP2,0.269,540.0,78.5,0,0.383,0.166,299.0088,49.8,0.242,1,24.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00093,13.013806,80.184769,12,Alandur,street,10.65,0.65,16.12,520.1,3.6,12.5,600,RCC_Hume_NP2,0.303,330.0,71.0,0,0.332,0.202,299.0088,49.8,0.242,1,22.5,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00094,13.042674,80.267491,9,Teynampet,street,8.08,0.73,6.94,1355.4,3.6,7.8,600,RCC_Hume_NP2,0.321,540.0,78.5,1,0.583,0.134,299.0088,49.8,0.242,1,29.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
